aro_accession,aro_name,amr_gene_family,drug_class,mechanism,hierarchy_node
blaKPC-230,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-230,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-230
blaKPC-231,carbapenem-hydrolyzing class A beta-lactamase KPC-231,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-231
blaKPC-232,carbapenem-hydrolyzing class A beta-lactamase KPC-232,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-232
blaKPC-233,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-233,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-233
blaKPC-234,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-234,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-234
blaKPC-236,carbapenem-hydrolyzing class A beta-lactamase KPC-236,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-236
blaKPC-237,carbapenem-hydrolyzing class A beta-lactamase KPC-237,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-237
blaKPC-238,carbapenem-hydrolyzing class A beta-lactamase KPC-238,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-238
blaKPC-239,carbapenem-hydrolyzing class A beta-lactamase KPC-239,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-239
blaKPC-24,carbapenem-hydrolyzing class A beta-lactamase KPC-24,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-24
blaKPC-240,carbapenem-hydrolyzing class A beta-lactamase KPC-240,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-240
blaKPC-241,carbapenem-hydrolyzing class A beta-lactamase KPC-241,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-241
blaKPC-242,carbapenem-hydrolyzing class A beta-lactamase KPC-242,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-242
blaKPC-243,carbapenem-hydrolyzing class A beta-lactamase KPC-243,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-243
blaKPC-244,carbapenem-hydrolyzing class A beta-lactamase KPC-244,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-244
blaKPC-245,carbapenem-hydrolyzing class A beta-lactamase KPC-245,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-245
blaKPC-246,carbapenem-hydrolyzing class A beta-lactamase KPC-246,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-246
blaKPC-247,carbapenem-hydrolyzing class A beta-lactamase KPC-247,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-247
blaKPC-248,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-248,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-248
blaKPC-249,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-249,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-249
blaKPC-25,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-25,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-25
blaKPC-250,class A beta-lactamase KPC-250,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-250
blaKPC-251,carbapenem-hydrolyzing class A beta-lactamase KPC-251,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-251
blaKPC-252,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-252,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-252
blaKPC-255,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-255,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-255
blaKPC-256,carbapenem-hydrolyzing class A beta-lactamase KPC-256,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-256
blaKPC-257,carbapenem-hydrolyzing class A beta-lactamase KPC-257,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-257
blaKPC-258,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-258,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-258
blaKPC-259,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-259,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-259
blaKPC-26,carbapenem-hydrolyzing class A beta-lactamase KPC-26,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-26
blaKPC-260,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-260,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-260
blaKPC-261,inhibitor-resistant class A beta-lactamase KPC-261,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-261
blaKPC-262,carbapenem-hydrolyzing class A beta-lactamase KPC-262,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-262
blaKPC-263,carbapenem-hydrolyzing class A beta-lactamase KPC-263,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-263
blaKPC-264,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-264,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-264
blaKPC-265,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-265,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-265
blaKPC-266,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-266,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-266
blaKPC-267,inhibitor-resistant class A beta-lactamase KPC-267,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-267
blaKPC-268,inhibitor-resistant class A beta-lactamase KPC-268,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-268
blaKPC-269,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-269,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-269
blaKPC-27,carbapenem-hydrolyzing class A beta-lactamase KPC-27,nan,BETA-LACTAM|CARBAPENEM/CEFTIBUTEN-AVIBACTAM,beta-lactamase,blaKPC-27
blaKPC-270,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-270,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-270
blaKPC-271,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-271,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-271
blaKPC-272,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-272,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-272
blaKPC-273,inhibitor-resistant class A beta-lactamase KPC-273,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-273
blaKPC-274,inhibitor-resistant class A beta-lactamase KPC-274,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-274
blaKPC-275,inhibitor-resistant class A beta-lactamase KPC-275,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-275
blaKPC-276,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-276,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-276
blaKPC-277,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-277,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-277
blaKPC-278,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-278,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-278
blaKPC-279,inhibitor-resistant class A beta-lactamase KPC-279,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-279
blaKPC-28,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-28,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-28
blaKPC-280,inhibitor-resistant class A beta-lactamase KPC-280,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-280
blaKPC-281,carbapenem-hydrolyzing class A beta-lactamase KPC-281,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-281
blaKPC-29,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-29,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-29
blaKPC-3,carbapenem-hydrolyzing class A beta-lactamase KPC-3,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-3
blaKPC-30,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-30,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-30
blaKPC-31,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-31,nan,BETA-LACTAM|CEFIDEROCOL/CEPHALOSPORIN,beta-lactamase,blaKPC-31
blaKPC-32,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-32,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-32
blaKPC-33,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-33,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-33
blaKPC-34,carbapenem-hydrolyzing class A beta-lactamase KPC-34,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-34
blaKPC-35,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-35,nan,BETA-LACTAM|CEFIDEROCOL/CEPHALOSPORIN,beta-lactamase,blaKPC-35
blaKPC-36,carbapenem-hydrolyzing class A beta-lactamase KPC-36,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-36
blaKPC-37,carbapenem-hydrolyzing class A beta-lactamase KPC-37,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-37
blaKPC-38,carbapenem-hydrolyzing class A beta-lactamase KPC-38,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-38
blaKPC-39,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-39,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-39
blaKPC-4,carbapenem-hydrolyzing class A beta-lactamase KPC-4,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-4
blaKPC-40,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-40,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-40
blaKPC-41,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-41,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-41
blaKPC-42,carbapenem-hydrolyzing class A beta-lactamase KPC-42,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-42
blaKPC-43,carbapenem-hydrolyzing class A beta-lactamase KPC-43,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-43
blaKPC-44,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-44,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-44
blaKPC-45,carbapenem-hydrolyzing class A beta-lactamase KPC-45,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-45
blaKPC-46,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-46,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-46
blaKPC-47,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-47,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-47
blaKPC-48,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-48,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-48
blaKPC-49,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-49,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-49
blaKPC-5,carbapenem-hydrolyzing class A beta-lactamase KPC-5,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-5
blaKPC-50,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-50,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-50
blaKPC-51,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-51,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-51
blaKPC-52,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-52,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-52
blaKPC-53,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-53,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-53
blaKPC-54,carbapenem-hydrolyzing class A beta-lactamase KPC-54,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-54
blaKPC-55,carbapenem-hydrolyzing class A beta-lactamase KPC-55,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-55
blaKPC-56,carbapenem-hydrolyzing class A beta-lactamase KPC-56,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-56
blaKPC-57,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-57,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-57
blaKPC-58,inhibitor-resistant class A beta-lactamase KPC-58,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-58
blaKPC-59,carbapenem-hydrolyzing class A beta-lactamase KPC-59,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-59
blaKPC-6,carbapenem-hydrolyzing class A beta-lactamase KPC-6,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-6
blaKPC-60,carbapenem-hydrolyzing class A beta-lactamase KPC-60,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-60
blaKPC-61,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-61,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-61
blaKPC-62,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-62,nan,BETA-LACTAM|CEFIDEROCOL/CEPHALOSPORIN,beta-lactamase,blaKPC-62
blaKPC-63,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-63,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-63
blaKPC-64,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-64,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-64
blaKPC-65,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-65,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-65
blaKPC-66,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-66,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-66
blaKPC-67,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-67,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-67
blaKPC-68,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-68,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-68
blaKPC-69,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-69,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-69
blaKPC-7,carbapenem-hydrolyzing class A beta-lactamase KPC-7,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-7
blaKPC-70,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-70,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-70
blaKPC-71,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-71,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-71
blaKPC-72,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-72,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-72
blaKPC-73,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-73,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-73
blaKPC-74,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-74,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-74
blaKPC-75,carbapenem-hydrolyzing class A beta-lactamase KPC-75,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-75
blaKPC-76,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-76,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-76
blaKPC-77,carbapenem-hydrolyzing class A beta-lactamase KPC-77,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-77
blaKPC-78,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-78,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-78
blaKPC-79,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-79,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-79
blaKPC-8,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-8,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-8
blaKPC-80,carbapenem-hydrolyzing class A beta-lactamase KPC-80,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-80
blaKPC-81,carbapenem-hydrolyzing class A beta-lactamase KPC-81,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-81
blaKPC-82,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-82,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-82
blaKPC-83,carbapenem-hydrolyzing class A beta-lactamase KPC-83,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-83
blaKPC-84,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-84,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-84
blaKPC-85,carbapenem-hydrolyzing class A beta-lactamase KPC-85,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-85
blaKPC-86,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-86,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-86
blaKPC-87,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-87,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-87
blaKPC-88,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-88,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-88
blaKPC-89,carbapenem-hydrolyzing class A beta-lactamase KPC-89,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-89
blaKPC-90,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-90,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-90
blaKPC-91,carbapenem-hydrolyzing class A beta-lactamase KPC-91,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-91
blaKPC-92,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-92,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-92
blaKPC-93,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-93,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-93
blaKPC-94,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-94,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-94
blaKPC-95,inhibitor-resistant extended-spectrum class A beta-lactamase KPC-95,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaKPC-95
blaKPC-96,carbapenem-hydrolyzing class A beta-lactamase KPC-96,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-96
blaKPC-97,class A beta-lactamase KPC-97,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-97
blaKPC-98,carbapenem-hydrolyzing class A beta-lactamase KPC-98,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-98
blaKPC-99,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-99,nan,BETA-LACTAM|CARBAPENEM,beta-lactamase,blaKPC-99
blaL,BlaL family class A beta-lactamase,BlaL family class A beta-lactamase,BETA-LACTAM,beta-lactamase,blaL
blaL1,L1 family subclass B3 metallo-beta-lactamase,L1 family subclass B3 metallo-beta-lactamase,BETA-LACTAM|CARBAPENEM,metallo-beta-lactamase,blaL1
blaL2,L2 family extended-spectrum class A beta-lactamase,L2 family extended-spectrum class A beta-lactamase,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaL2
blaLAP-1,class A beta-lactamase LAP-1,nan,BETA-LACTAM,beta-lactamase,blaLAP-1
blaLAP-2,class A beta-lactamase LAP-2,nan,BETA-LACTAM,beta-lactamase,blaLAP-2
blaLAQ-1,extended-spectrum class C beta-lactamase LAQ-1,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaLAQ-1
blaLAT-1,CMY-2 family cephalosporin-hydrolyzing class C beta-lactamase LAT-1,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaLAT-1
blaLAT-3,CMY-2 family cephalosporin-hydrolyzing class C beta-lactamase LAT-3,nan,BETA-LACTAM|CEPHALOSPORIN,beta-lactamase,blaLAT-3
blaLCR-1,oxacillin-hydrolyzing class D beta-lactamase LCR-1,nan,BETA-LACTAM,beta-lactamase,blaLCR-1
blaLEN-1,class A beta-lactamase LEN-1,nan,BETA-LACTAM,beta-lactamase,blaLEN-1
blaLEN-10,class A beta-lactamase LEN-10,nan,BETA-LACTAM,beta-lactamase,blaLEN-10
blaLEN-100,class A beta-lactamase LEN-100,nan,BETA-LACTAM,beta-lactamase,blaLEN-100
blaLEN-101,class A beta-lactamase LEN-101,nan,BETA-LACTAM,beta-lactamase,blaLEN-101
blaLEN-102,class A beta-lactamase LEN-102,nan,BETA-LACTAM,beta-lactamase,blaLEN-102
blaLEN-103,class A beta-lactamase LEN-103,nan,BETA-LACTAM,beta-lactamase,blaLEN-103
blaLEN-104,class A beta-lactamase LEN-104,nan,BETA-LACTAM,beta-lactamase,blaLEN-104
blaLEN-105,class A beta-lactamase LEN-105,nan,BETA-LACTAM,beta-lactamase,blaLEN-105
blaLEN-106,class A beta-lactamase LEN-106,nan,BETA-LACTAM,beta-lactamase,blaLEN-106
blaLEN-107,class A beta-lactamase LEN-107,nan,BETA-LACTAM,beta-lactamase,blaLEN-107
blaLEN-108,class A beta-lactamase LEN-108,nan,BETA-LACTAM,beta-lactamase,blaLEN-108
blaLEN-109,class A beta-lactamase LEN-109,nan,BETA-LACTAM,beta-lactamase,blaLEN-109
blaLEN-11,class A beta-lactamase LEN-11,nan,BETA-LACTAM,beta-lactamase,blaLEN-11
blaLEN-110,class A beta-lactamase LEN-110,nan,BETA-LACTAM,beta-lactamase,blaLEN-110
blaLEN-111,class A beta-lactamase LEN-111,nan,BETA-LACTAM,beta-lactamase,blaLEN-111
blaLEN-112,class A beta-lactamase LEN-112,nan,BETA-LACTAM,beta-lactamase,blaLEN-112
blaLEN-113,class A beta-lactamase LEN-113,nan,BETA-LACTAM,beta-lactamase,blaLEN-113
blaLEN-114,class A beta-lactamase LEN-114,nan,BETA-LACTAM,beta-lactamase,blaLEN-114
blaLEN-115,class A beta-lactamase LEN-115,nan,BETA-LACTAM,beta-lactamase,blaLEN-115
blaLEN-116,class A beta-lactamase LEN-116,nan,BETA-LACTAM,beta-lactamase,blaLEN-116
blaLEN-117,class A beta-lactamase LEN-117,nan,BETA-LACTAM,beta-lactamase,blaLEN-117
blaLEN-118,class A beta-lactamase LEN-118,nan,BETA-LACTAM,beta-lactamase,blaLEN-118
blaLEN-119,class A beta-lactamase LEN-119,nan,BETA-LACTAM,beta-lactamase,blaLEN-119
blaLEN-12,class A beta-lactamase LEN-12,nan,BETA-LACTAM,beta-lactamase,blaLEN-12
blaLEN-120,class A beta-lactamase LEN-120,nan,BETA-LACTAM,beta-lactamase,blaLEN-120
blaLEN-121,class A beta-lactamase LEN-121,nan,BETA-LACTAM,beta-lactamase,blaLEN-121
blaLEN-122,class A beta-lactamase LEN-122,nan,BETA-LACTAM,beta-lactamase,blaLEN-122
blaLEN-123,class A beta-lactamase LEN-123,nan,BETA-LACTAM,beta-lactamase,blaLEN-123
blaLEN-124,class A beta-lactamase LEN-124,nan,BETA-LACTAM,beta-lactamase,blaLEN-124
blaLEN-125,class A beta-lactamase LEN-125,nan,BETA-LACTAM,beta-lactamase,blaLEN-125
blaLEN-126,class A beta-lactamase LEN-126,nan,BETA-LACTAM,beta-lactamase,blaLEN-126
blaLEN-127,class A beta-lactamase LEN-127,nan,BETA-LACTAM,beta-lactamase,blaLEN-127
blaLEN-128,class A beta-lactamase LEN-128,nan,BETA-LACTAM,beta-lactamase,blaLEN-128
blaLEN-129,class A beta-lactamase LEN-129,nan,BETA-LACTAM,beta-lactamase,blaLEN-129
blaLEN-13,class A beta-lactamase LEN-13,nan,BETA-LACTAM,beta-lactamase,blaLEN-13
blaLEN-130,class A beta-lactamase LEN-130,nan,BETA-LACTAM,beta-lactamase,blaLEN-130
blaLEN-131,class A beta-lactamase LEN-131,nan,BETA-LACTAM,beta-lactamase,blaLEN-131
blaLEN-132,class A beta-lactamase LEN-132,nan,BETA-LACTAM,beta-lactamase,blaLEN-132
blaLEN-133,class A beta-lactamase LEN-133,nan,BETA-LACTAM,beta-lactamase,blaLEN-133
blaLEN-134,class A beta-lactamase LEN-134,nan,BETA-LACTAM,beta-lactamase,blaLEN-134
blaLEN-135,class A beta-lactamase LEN-135,nan,BETA-LACTAM,beta-lactamase,blaLEN-135
blaLEN-136,class A beta-lactamase LEN-136,nan,BETA-LACTAM,beta-lactamase,blaLEN-136
blaLEN-137,class A beta-lactamase LEN-137,nan,BETA-LACTAM,beta-lactamase,blaLEN-137
blaLEN-138,class A beta-lactamase LEN-138,nan,BETA-LACTAM,beta-lactamase,blaLEN-138
blaLEN-139,class A beta-lactamase LEN-139,nan,BETA-LACTAM,beta-lactamase,blaLEN-139
blaLEN-140,class A beta-lactamase LEN-140,nan,BETA-LACTAM,beta-lactamase,blaLEN-140
blaLEN-141,class A beta-lactamase LEN-141,nan,BETA-LACTAM,beta-lactamase,blaLEN-141
blaLEN-142,class A beta-lactamase LEN-142,nan,BETA-LACTAM,beta-lactamase,blaLEN-142
blaLEN-143,class A beta-lactamase LEN-143,nan,BETA-LACTAM,beta-lactamase,blaLEN-143
blaLEN-144,class A beta-lactamase LEN-144,nan,BETA-LACTAM,beta-lactamase,blaLEN-144
blaLEN-145,class A beta-lactamase LEN-145,nan,BETA-LACTAM,beta-lactamase,blaLEN-145
blaLEN-146,class A beta-lactamase LEN-146,nan,BETA-LACTAM,beta-lactamase,blaLEN-146
blaLEN-147,class A beta-lactamase LEN-147,nan,BETA-LACTAM,beta-lactamase,blaLEN-147
blaLEN-148,class A beta-lactamase LEN-148,nan,BETA-LACTAM,beta-lactamase,blaLEN-148
blaLEN-149,class A beta-lactamase LEN-149,nan,BETA-LACTAM,beta-lactamase,blaLEN-149
blaLEN-15,class A beta-lactamase LEN-15,nan,BETA-LACTAM,beta-lactamase,blaLEN-15
blaLEN-150,class A beta-lactamase LEN-150,nan,BETA-LACTAM,beta-lactamase,blaLEN-150
blaLEN-151,class A beta-lactamase LEN-151,nan,BETA-LACTAM,beta-lactamase,blaLEN-151
blaLEN-152,class A beta-lactamase LEN-152,nan,BETA-LACTAM,beta-lactamase,blaLEN-152
blaLEN-153,class A beta-lactamase LEN-153,nan,BETA-LACTAM,beta-lactamase,blaLEN-153
